"ID","Code","Year","Nog controlleren","Niet relevant","Ingegeven","Publicatie"
"L035","35",1884,0,1,0,"BECKER, L., 1884. Mémoires d'une Lycose. Bruxelles, 1 179, 9 figs.              "
"L036","36",1884,0,0,1,"LAMEERE, A., 1884. L'Argyroneta aquatica prise à  Rosière Saint André (La Hulpe). Annales de la Société entomologique de Belgique, 28 : CLXXXI.              "
"L037","37",1885,0,1,0,"BECKER, L., 1885. Catalogue des Arachnides de Belgique. Révision des espèces belges de la famille des Theridionidae. Annales de la Société entomologique de Belgique, 29 : XCIII C.              "
"L038","38",1886,1,0,0,"BECKER, L., 1886. Communication : Arachnide nouveau pour la faune de Belgique. Annales de la Société entomologique de Belgique, 30 : XXII.              "
"L039","39",1886,0,1,0,"BECKER, L., 1886. Diagnoses de quelques Arachnides nouveaux. Annales de la Société entomologique de Belgique, 30 : XXIII XXVII.              "
"L040","40",1892,0,0,1,"BECKER, L., 1892. Sur le Pholcus phalangioides, FUESSLY, 1775. Annales de la Société entomologique de Belgique, 36 : 539 540.              "
"L041","41",1896,0,1,0,"BECKER, L., 1896. Les Arachnides de Belgique (2ième  partie). Ann. Mus. r. Hist. nat. Belg., XII : 1 127, pl. I-XXV.              "
"L042","42",1896,1,0,0,"BECKER, L., 1896. Les Arachnides de Belgique (3ième  partie). Ann. Mus. r. Hist. nat. Belg., XII : 1 378, pl. I-XXVIII.              "
"L043","43",1901,0,0,1,"BECKER, L., 1901. Communication : Aranéides nouveaux pour la faune belge, collectés à  Theux. Annales de la Société entomologique de Belgique, 45 : 6 7.              "
"L044","44",1906,0,0,1,"LAMEERE, A., 1906. Communication : capture de deux Arachnides : Pholcus phalangioides FUESSL. et Scytodes thoracica LATR.. Annales de la Société entomologique de Belgique, 50 : 282.              "
"L045","45",1925,0,1,0,"GILTAY, L., 1925. Remarques sur l'éthologie des Lycosides. Bulletin et Annales de la Société entomologique de Belgique, 65 : 87 89.              "
"L046","46",1926,0,1,0,"GILTAY, L., 1926. Remarques sur la classification et la phylogénie des familles d'Araignées. Bulletin et Annales de la Société entomologique de Belgique, 66 : 115 131.              "
"L047","47",1927,1,0,0,"GILTAY, L., 1927. Communication : capture de 2 Araignées nouvelles pour la faune : Tetragnatha Solandrii SCOP. et Aelurillus festivus C.L. KOCH. Bulletin et Annales de la Société entomologique de Belgique, 67 : 184.              "
"L048","48",1927,0,0,1,"THOMAS, M., 1927. Communication : Araneus quadratus CLERCK recueillis à  Westende. Bulletin et Annales de la Société entomologique de Belgique, 67 : 249 250.              "
"L049","49",1928,1,0,0,"GILTAY, L., 1928. Communication : 1 _ de Drassodes myogaster (BERTK.) (f. nov. sp.) capturée à  Westende. Bulletin et Annales de la Société entomologique de Belgique, 68 : 144.              "
"L050","50",1928,0,1,0,"TMOMAS, M., 1928. Communication : sur Scytodes thoracica, Agelena labyrinthica et Ocyale mirabilis. Bulletin et Annales de la Société entomologique de Belgique, 68 : 144.              "
"L051","51",1929,0,0,1,"TMOMAS, M., 1929. Capture d'Araignées à  Dour. Bulletin des naturalistes de Mons et du Borinage, 9 10 : 96 97.              "
"L052","52",1931,0,0,1,"TMOMAS, M., 1931. Communication : un Misumena vatia Cl. capturé à  Morialmé. Bulletin et Annales de la Société entomologique de Belgique, 71 : 122.              "
"L053","53",1932,0,0,1,"THOMAS, M., 1932. Communication. Bulletin et Annales de la Société entomologique de Belgique, 72 : 124.              "
"L054","54",1933,0,0,1,"FAGE, L., 1933. Les Arachnides cavernicoles de Belgique. Bulletin de la Société Entomologique de  France, XXXVIII (4) : 53 56.              "
"L055","55",1933,0,1,0,"LERUTH, R., 1933. Exploration biologique des cavernes de la Belgique et du Limbourg hollandais. XIVième  contribution : Introduction et liste des grottes visitées de décembre 1931 à  janvier 1933. Natuurhistorisch Maandblad, 22 (5 10) : 54 56.            "
"L056","56",1933,0,0,1,"TMOMAS, M., 1933. Communication : un Marpissa muscosa Cl. (Attidae) pris aux environs de Chaudfontaine. Bulletin et Annales de la Société entomologique de Belgique, 73 : 268.              "
"L057","57",1934,0,1,0,"GILTAY, L., 1934. Quelques aspects de l'Arachnologie. Bulletin et Annales de la Société entomologique de Belgique, 74 : 15 21.              "
"L058","58",1934,0,0,1,"GILTAY, L., 1934. Communication : un Atypus affinis EICHW. capturé à  Weelden (Turnhout). Bulletin et Annales de la Société entomologique de Belgique, 74 : 196.              "
"L059","59",1935,0,0,1,"LERUTH, R., 1935. Exploration biologique...XXIième  contribution : Deuxième liste des grottes visitées. Natuurhistorisch Maandblad, 24, Araignées : nième  7, pp. 88-90, nième  11, pp. 135-138, nième  12, pp. 147-152.              "
"L060","60",1935,0,0,1,"LERUTH, R., 1935. Exploration biologique des cavernes de la Belgique et du Limbourg Hollandais.XXVIIième  contribution : Arachnida. Bull. Mus. r. Hist. nat. Belg., 11 (39) : 1 34.              "
"L061","61",1936,0,0,1,"GILTAY, L., 1936. Communication : un couple de Clubiona diversa O.P. CAMBR. Belg. nov. sp., capturé à  Villers sur Lesse. Bulletin et Annales de la Société entomologique de Belgique, 76 : 198.              "
"L062","62",1936,0,0,1,"LERUTH, R., 1936. Exploration biologique...  XXIième  contribution : Deuxième liste des grottes visitées (suite). Natuurhistorisch Maandblad, 25, Araignées : nième  1, pp. 8-10, nième  2, pp. 17-21, nième  3, pp. 29-32, nième  4, pp. 45-47, nième  6, pp. "
"L063","63",1936,0,1,0,"LERUTH, R., 1936. Exploration biologique...  XXIième  contribution : Deuxième liste des grottes visitées, (suite). Natuurhistorisch Maandblad, 26, Araignées : nième  2, pp. 22-23, nième  5, pp. 62-64, nième  7-8, pp. 84-87, nième  9, pp. 99-103, nième  10"
"L064","64",1939,0,1,0,"LERUTH, R., 1939. La Biologie du domaine souterrain et la faune cavernicole de la Belgique. Mém. Mus. r. Hist. nat. Belg., 87 : 1 506.              "
"L065","65",1943,0,0,1,"DENIS, J., 1943. Notes sur la faune des Hautes Fagnes en Belgique : IX. Araneidea. Bull. Mus. r. Hist. nat. Belg., XIX (12) : 1 28, figs. 1-7.              "
"L066","66",1952,0,1,0,"DENIS, J., 1952. Etudes biospéologiques. XXXV. Araignées récoltées en Roumanie par Robert LERUTH, avec un appendice sur quelques Araignées cavernicoles de Belgique. Bull. Inst. r. Sc. nat. Belg., XXVIII (12) : 1 50.              "
"L067","67",1953,0,0,1,"DUVIGNEAUD, J., 1953. Découverte à  Dinant de l'Araignée Frelon (Argiope brunnichi Scopoli). Naturalistes Belges, : 131 135.              "
"L068","68",1953,0,1,0,"VANDEN EECKHOUDT, J.P., 1953. A propos de l'Araignée Frelon (Argiope brunnichi Scopoli). Naturalistes Belges, : 135 136.              "
"L069","69",1954,0,1,0,"LELOUP, E., VAN MEEL, L. & JACQUEMART, S., 1954. Recherches hydrobiologique sur trois mares d'eau douce des environs de Liège. Mém. Inst. r. Sc. nat. Belg., 131 : 1 145, figs. 1-8, pl. I-IV.              "
"L070","70",1955,0,0,1,"KEKENBOSCH, J., 1955. Notes sur les Araignées de la faune de Belgique. I. Oonopidae, Scytodidae. Inst. r. Sc. nat. Belg., XXXI (66) : 1 12.              "
"L071","71",1956,0,0,1,"JACQUEMART, S. & LELOUP, E., 1956. Observations écologiques sur une pelouse xérothermique. Le Thiers Pirard (Comblain au Pont). Mém. Inst. r. Sc. nat. Belg., 134 : 1 100, figs. 1-17, pl. I-III.              "
"L072","72",1956,0,0,1,"KEKENBOSCH, J., 1956. Notes sur les Araignées de la faune de Belgique. II. Clubionidae. Bull. Inst. r. Sc. nat. Belg., XXXII (46) : 1 12, figs. 1-2.              "
"L073","73",1956,0,0,1,"LELOUP, E. & KONIETZKO, B., 1956. Recherches biologique sur les eaux saumà¢tres du Bas Escaut. Mém. Inst. r. Sc. nat. Belg., 132 : 1 100, figs. 1-26, pl. I-IV.              "
"L074","74",1958,0,0,1,"DENIS, J., 1958. Quelques Micro Araignées de Belgique. Bull. Inst. r. Sc. nat. Belg., XXXIV (29) : 1 14.              "
"L075","75",1958,0,0,1,"JACQUEMART, S. & LELOUP, E., 1958. Ecologie d'une prairie marécaguese. Chënée Sauheid, Province de Liège. Mém. Inst. r. Sc. nat. Belg., 140 : 1 69, figs. 1-21, pl. I-III.              "
"L076","76",1958,0,0,1,"JACQUEMART, S. & LELOUP, E., 1958. Ecologie d'une mare oligothrophe et des biotopes continus. Mém. Inst. r. Sc. nat. Belg., 144.              "
"L077","77",1958,0,0,1,"KEKENBOSCH, J., 1958. Notes sur les Araignées de la faune de Belgique. III. Clubionidae. Bull. Inst. r. Sc. nat. Belg., XXXIV (26) : 1 12.              "
"L078","78",1958,0,0,1,"KEKENBOSCH, J., 1958. Notes sur quelques Araignées de la Baraque Fraiture. Bull. Inst. r. Sc. nat. Belg., XXIV (35) : 1 8.              "
"L079","79",1958,0,0,1,"KEKENBOSCH, J., 1958. Araignées nouvelles pour la faune de Belgique : Drepanotylus uncatus (CAMBR.) & Cryphoeca silvicola (C.L. KOCH). Bulletin et Annales de la Société Royale d'Entomologie de Belgique, 94 (V VI) : 129 130.              "
"L080","80",1958,0,0,1,"KEKENBOSCH, J., 1958. Araignée nouvelle pour la faune de Belgique : Synageles hilarulus (C. KOCH). Bulletin et Annales de la Société Royale d'Entomologie de Belgique, 94 (IX XI) : 229.              "
"L854","854",2004,0,0,1,"DEKONINCK, H., 2004. Vier nieuwe en enkele zeldzame spinnen voor de Belgische fauna. Nieuwsbrief van de Belgische Arachnologische Vereniging. 19(1-2): 51-54."
"L855","855",2005,0,0,1,"DE GRUYTER, J., VERBIST, R., 2005. De Aardspin (Atypus affinis): twee nieuwe vondsten in Kessel en Nijlen met aantekeningen van de constructie van de nestcomplexen en het gedrag. Nieuwsbrief van de Belgische Arachnologische Vereniging. 20 (1): 4-9."
"L081","81",1958,0,0,1,"KEKENBOSCH, J., 1958. Clubiona nouveaux ou peu connus de la faune de Belgique. Bulletin et Annales de la Société Royale d'Entomologie de Belgique, 94 (XI XII) : 294 295.              "
"L082","82",1958,0,0,1,"KEKENBOSCH, J., 1958. Atypus affinis EICHWALD en Belgique (Araneae, Mygalomorphe). Bulletin et Annales de la Société Royale d'Entomologie de Belgique, 94 (XI XII) : 296 297.              "
"L083","83",1959,0,0,1,"DENIS, J., 1959. Quelques Araignées de Belgique. Bull. Inst. r. Sc. nat. Belg., XXXV (28) : 1 11.              "
"L084","84",1959,0,0,1,"KEKENBOSCH, J., 1959. Notes sur quelques Clubionidae nouveaux ou peu connus de la faune de Belgique. Bulletin et Annales de la Société Royale d'Entomologie de Belgique, 95 (I IV) : 39 40.              "
"L085","85",1959,0,0,1,"KEKENBOSCH, J., 1959. Araignée nouvelle pour la faune de Belgique : Thyreosthenius biovatus (CAMBR.). Bulletin et Annales de la Société Royale d'Entomologie de Belgique, 95 (IX X) : 254.              "
"L086","86",1959,0,0,1,"KEKENBOSCH, J., 1959. Liste des Drassidae de la faune de Belgique. Bulletin et Annales de la Société Royale d'Entomologie de Belgique, 95 (XI XII) : 342 350.              "
"L087","87",1960,0,0,1,"KEKENBOSCH, J., 1960. Araignées nouvelles pour la faune de Belgique : Oonops domesticus DALMAS et Bolyphantes alticeps (SUNDEVALL). Bulletin et Annales de la Société Royale d'Entomologie de Belgique, 96 (XI XII) : 254.              "
"L088","88",1961,1,0,0,"KEKENBOSCH, J., 1961. Araignées intéressantes ou nouvelles pour la faune de Belgique : 1. Zelotes electus (C.L. KOCH). 2. Thanatus striatus C.L. KOCH. 3. Heliophanus dampfi SCHENKEL. Bulletin et Annales de la Société Royale d'Entomologie de Belgique, 97 ("
"L089","89",1961,0,0,1,"KEKENBOSCH, J., 1961. Notes sur les Araignées de la faune de Belgique. IV. Salticidae. Bull. Inst. r. Sc. nat. Belg., XXXVII (43) : 1 29, figs. 1-3.              "
"L090","90",1962,0,0,1,"KEKENBOSCH, J., 1962. Note complémentaire sur la répartition, en Belgique, des espèces du genre Agroeca WESTRING. Bulletin et Annales de la Société Royale d'Entomologie de Belgique, 98 : 386 387, figs. 1-4.              "
"L091","91",1963,0,1,0,"KEKENBOSCH, J., 1963. L'Araignée Porte Croix. Carnet du Service Educatif, 1 31, figs. 1-8.              "
"L092","92",1963,0,0,1,"KEKENBOSCH, J., 1963. Note sur les espèces belges du genre Alopecosa SIMON. Bulletin et Annales de la Société Royale d'Entomologie de Belgique, 99 : XLI.              "
"L093","93",1963,0,0,1,"KEKENBOSCH, J., 1963. Acartauchenius scurrilis (CAMBR.), Arachnide myrmécophile nouveau pour la faune de Belgique. Bulletin et Annales de la Société Royale d'Entomologie de Belgique, 99 : XLI.              "
"L094","94",1963,0,0,1,"KEKENBOSCH, J., 1963. Trois Araignées nouvelles pour la faune de Belgique : Clubiona stagnatilis KULCZ., Savignya frontata BLACK. et Streptospaenus (Diplocephalus) permixtus CAMBR.. Bulletin et Annales de la Société Royale d'Entomologie de Belgique, 99 : "
"L095","95",1963,0,0,1,"KEKENBOSCH, J., 1963. Une Araignée nouvelle pour la faune de Belgique : Ostearius melanopygius (CAMBR.). Bulletin et Annales de la Société Royale d'Entomologie de Belgique, 99 : C.R. XLVIII.              "
"L096","96",1963,0,0,1,"KEKENBOSCH, J., 1963. Quelques Araignées de la Réserve de Genk. Bulletin des réserves naturelles et ornithologiques de Belgique : 23 27.              "
"L097","97",1963,0,0,1,"LELOUP, E. & JACQUEMART, S., 1963. Ecologie d'une tourbière bombée (Haute Ardenne, La Fange aux Mochettes). Mém. Inst. r. Sc. nat. Belg., 149 : 1 159, figs. 1-43, pl. I-IV.              "
"L098","98",1964,0,0,1,"DENIS, J., 1964. Communication : Capture de deux Araignées intéressantes pour la faune de Belgique. Bulletin et Annales de la Société Royale d'Entomologie de Belgique, 100 : LX LXI.              "
"L099","99",1965,0,0,1,"DENIS, J., 1965. Notes sur les Erigonides XXXI. Acartauchenius justus (O.P. CAMBR.). Araignée nouvelle pour la faune de Belgique. Bull. Inst. r. Sc. nat. Belg., XLI (14) : 1 5.              "
"L100","100",1965,0,0,1,"DENIS, J., 1965. Quelques Araignées nouvelle ou intéressantes pour la faune de Belgique. Bulletin et Annales de la Société Royale d'Entomologie de Belgique, 101 : XXXVII XXXIX.              "
"L101","101",1966,1,0,0,"DENIS, J., 1966. Pseudomaro aenigmaticus n. gen., n. sp., Araignée nouvelle pour la faune de Belgique et un congénère probable de Sibérie. Bull. Inst. r. Sc. nat. Belg., 42 (9) : 1 7.              "
"L102","102",1966,0,0,1,"KEKENBOSCH, J., 1966. Une Araignée nouvelle pour la faune de Belgique : Tetrilus arietinus (THORELL). Bulletin et Annales de la Société Royale d'Entomologie de Belgique, 102 : C.R. LVIII.              "
"L103","103",1967,0,0,1,"BENOIT, P.L.G., 1967. Citations d'Araignées rares ou nouvelles pour la faune de Belgique. Bull. Ann. Soc. r. Ent. Belg., 103 : 77 81.              "
"L104","104",1967,0,0,1,"KEKENBOSCH, J., 1967. Les Araignées de la Réserve de la Calamine. (1ième  partie). Ardenne & Gaume, XII (3) : 104 112.              "
"L105","105",1967,0,0,1,"KEKENBOSCH, J., 1967. Les Araignées de la Réserve de la Calamine. (2ième  partie). Ardenne & Gaume, XII (4) : 139 149.              "
